-1.230000 0.000000 0.000000,-1.840000 0.000000 0.000000,-3.010000 0.000000 0.000000,
-1.152999 -0.369337 0.615000,-1.589229 -0.792336 0.920000,-1.990997 -1.873488 1.505000,
-0.939152 -0.670469 1.230000,-0.957645 -1.270773 1.840000,-0.121255 -1.991994 3.010000,
-1.152999 0.369337 -0.615000,-1.589229 0.792336 -0.920000,-1.990997 1.873488 -1.505000,
-0.939152 0.670469 -1.230000,-0.957645 1.270773 -1.840000,-0.121255 1.991994 -3.010000,
1.230000 0.000000 0.000000,1.840000 0.000000 0.000000,3.010000 0.000000 0.000000,
1.152999 0.369337 0.615000,1.589229 0.792336 0.920000,1.990997 1.873488 1.505000,
0.939152 0.670469 1.230000,0.957645 1.270773 1.840000,0.121255 1.991994 3.010000,
1.152999 -0.369337 -0.615000,1.589229 -0.792336 -0.920000,1.990997 -1.873488 -1.505000,
0.939152 -0.670469 -1.230000,0.957645 -1.270773 -1.840000,0.121255 -1.991994 -3.010000,
